Directory,Status,Duration,SUs,Failure Reason,Vol Error (AF),Vol Error (%),Max WSEL Err,Start Time,End Time,Failure Info,Max WSE (ft),Max Depth (ft),Max Velocity (ft/s),Max Volume (ft^3),Max Flow Balance (ft^3/s),Max Stage BC (ft),Max Inflow BC (cfs),Max Cum PRCP (inc),Max Cum PRCP (in)
SS0276_PP020_SM4_BF1_Base,SUCCESS,9.454722222222221,100,,174901.,0.02317,17.51,Jun 04 03:44,Jun 04 13:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0276_PP026_SM5_BF1_Base,SUCCESS,13.592500000000001,140,,161153.,0.02117,22.31,Jun 04 03:44,Jun 04 17:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0276_PP174_SM5_BF1_Base,SUCCESS,11.385833333333332,120,,161035.,0.02133,27.70,Jun 04 03:44,Jun 04 15:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0276_PP186_SM1_BF1_Base,SUCCESS,10.224722222222223,110,,186322.,0.02484,18.28,Jun 04 05:41,Jun 04 15:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0276_PP264_SM4_BF1_Base,SUCCESS,10.27638888888889,110,,180134.,0.02391,19.18,Jun 04 04:00,Jun 04 14:17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0276_PP328_SM3_BF1_Base,SUCCESS,9.6525,100,,143729.,0.01901,17.91,Jun 04 07:16,Jun 04 16:55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0276_PP371_SM4_BF1_Base,SUCCESS,9.968333333333334,100,,161647.,0.02145,17.51,Jun 04 07:49,Jun 04 17:47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0276_PP397_SM5_BF1_Base,SUCCESS,9.867777777777778,100,,155559.,0.02043,22.53,Jun 04 04:56,Jun 04 14:48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0276_PP441_SM1_BF1_Base,SUCCESS,10.086111111111112,110,,175439.,0.02334,21.52,Jun 04 04:06,Jun 04 14:11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0277_PP118_SM3_BF1_Base,SUCCESS,9.886944444444444,100,,130050.,0.02584,17.73,Jun 04 03:43,Jun 04 13:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0277_PP378_SM5_BF1_Base,SUCCESS,11.216666666666667,120,,87055.,0.01683,22.11,Jun 04 04:10,Jun 04 15:23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0278_PP173_SM3_BF1_Base,SUCCESS,7.938611111111111,80,,93777.,0.03036,17.51,Jun 04 04:17,Jun 04 12:13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0278_PP227_SM2_BF1_Base,SUCCESS,7.420277777777778,80,,91878.,0.02974,17.51,Jun 04 03:55,Jun 04 11:20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0278_PP404_SM4_BF1_Base,SUCCESS,8.195,90,,92287.,0.02988,17.51,Jun 04 05:11,Jun 04 13:23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0281_PP021_SM5_BF1_Base,SUCCESS,8.187222222222223,90,,237011.,0.03184,17.51,Jun 04 03:48,Jun 04 11:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0284_PP163_SM5_BF1_Base,SUCCESS,8.627222222222223,90,,109448.,0.03231,17.54,Jun 04 04:08,Jun 04 12:46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0284_PP181_SM4_BF1_Base,SUCCESS,8.716944444444444,90,,109753.,0.03266,18.88,Jun 04 07:46,Jun 04 16:29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0284_PP444_SM2_BF1_Base,SUCCESS,8.559166666666668,90,,103700.,0.03047,17.51,Jun 04 10:16,Jun 04 18:49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0285_PP015_SM4_BF1_Base,SUCCESS,9.519166666666667,100,,118181.,0.02786,17.51,Jun 04 03:44,Jun 04 13:15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
SS0285_PP041_SM3_BF1_Base,SUCCESS,8.803055555555556,90,,117869.,0.02799,17.51,Jun 04 04:33,Jun 04 13:21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
